NAMA PARTAI POLITIK,NAMA CALON LEGESLATIF,JENIS KELAMIN,KECAMATAN,NO.URUT PARPOL,SUARA SAH PARTAI,JUML.PEROLEHAN KURSI,DAERAH PEMILIHAN,NO.URUT CALEG,SUARA SAH CALEG,TERPILIH ATAU TIDAK
HATI NURANI RAKYAT ,"TOTO SUKISNO,BSc",L,LEBAKSIU,1,18578,1,1,1,594,TIDAK
HATI NURANI RAKYAT ,"EDI PURYANTO,SH",L,SLAWI,1,18578,1,1,2,943,TIDAK
HATI NURANI RAKYAT ,"ELI RETNOWATI,SH",P,SLAWI,1,18578,1,1,3,1730,TIDAK
HATI NURANI RAKYAT ,SAHYUDIN,L,DUKUHWARU,1,18578,1,1,4,2508,YA
HATI NURANI RAKYAT ,"H.FAJAR SIGIT KUSUMAJAYA,SH",L,SLAWI,1,18578,1,2,1,923,TIDAK
HATI NURANI RAKYAT ,SUMIRAH ,P,TARUB,1,18578,1,2,2,308,TIDAK
HATI NURANI RAKYAT ,DARYOTO,L,TARUB,1,18578,1,2,3,54,TIDAK
HATI NURANI RAKYAT ,"KHAPIP APRONI,S.Pdi",L,BOJONG,1,18578,1,3,1,1682,TIDAK
HATI NURANI RAKYAT ,ENDANG SUCI RAHAYU,P,JATINEGARA,1,18578,1,3,2,918,TIDAK
HATI NURANI RAKYAT ,"KH.CHAFIDZ ISA MUFTI ,LC",L,SLAWI,1,18578,1,3,3,87,TIDAK
HATI NURANI RAKYAT ,"H.WALUYO,SIP",L,BALAPULANG,1,18578,1,4,1,728,TIDAK
HATI NURANI RAKYAT ,"DARJITO,SE",L,MARGASARI ,1,18578,1,4,2,346,TIDAK
HATI NURANI RAKYAT ,DWI INDAH LISTYANINGRUM,P,LEBAKSIU,1,18578,1,4,3,184,TIDAK
HATI NURANI RAKYAT ,SUSANTO,L,LEBAKSIU,1,18578,1,5,1,381,TIDAK
HATI NURANI RAKYAT ,ALIMI,L,ADIWERNA,1,18578,1,5,2,148,TIDAK
HATI NURANI RAKYAT ,POERWO LESTARI,P,SLAWI,1,18578,1,5,3,128,TIDAK
HATI NURANI RAKYAT ,KUSMORO,L,SLAWI,1,18578,1,6,1,441,TIDAK
HATI NURANI RAKYAT ,"NANANG JUWAHIR,SH",L,BOJONG,1,18578,1,6,2,88,TIDAK
HATI NURANI RAKYAT ,USWATUN KHASANAH,P,BALAPULANG,1,18578,1,6,3,74,TIDAK
PARTAI KARYA PEDULI BANGSA,SUPRIYATIN,P,PAGERBARANG,2,12373,0,1,1,351,TIDAK
PARTAI KARYA PEDULI BANGSA,MULIATI FARDILAH,P,PANGAH,2,12373,0,2,1,972,TIDAK
PARTAI KARYA PEDULI BANGSA,TANURI,L,WARUREJA,2,12373,0,2,2,307,TIDAK
PARTAI KARYA PEDULI BANGSA,"SIROD,BSc",L,MARGASARI ,2,12373,0,3,1,274,TIDAK
PARTAI KARYA PEDULI BANGSA,KASMUI,L,MARGASARI ,2,12373,0,3,2,186,TIDAK
PARTAI KARYA PEDULI BANGSA,MUSTOFA,L,MARGASARI ,2,12373,0,4,1,844,TIDAK
PARTAI KARYA PEDULI BANGSA,ABU NAWAS,L,MARGASARI ,2,12373,0,4,2,333,TIDAK
PARTAI KARYA PEDULI BANGSA,"MASANI SUKIM,SH",L,ADIWERNA,2,12373,0,5,1,804,TIDAK
PARTAI KARYA PEDULI BANGSA,NURCHIKMAH,P,ADIWERNA,2,12373,0,5,2,275,TIDAK
PARTAI KARYA PEDULI BANGSA,NANING SUDIARNI,L,WARUREJA,2,12373,0,6,1,848,TIDAK
PARTAI KARYA PEDULI BANGSA,KAMARI,L,KRAMAT,2,12373,0,6,2,461,TIDAK
PARTAI KARYA PEDULI BANGSA,MUJAHIDIN,L,SURODADI,2,12373,0,6,3,119,TIDAK
PARTAI PENGUSAHA DAN pekerja indonesia,"HANI YULIANTI, S.Sos.i",P,ADIWERNA,3,2646,0,1,1,130,TIDAK
PARTAI PENGUSAHA DAN pekerja indonesia,KUSNAN,L,TARUB,3,2646,0,2,1,219,TIDAK
PARTAI PENGUSAHA DAN pekerja indonesia,"IZZATUL ALIYAH, S.Ag",P,KRAMAT,3,2646,0,5,1,154,TIDAK
PARTAI PENGUSAHA DAN pekerja indonesia,SUKANDAR,L,KRAMAT,3,2646,0,6,1,179,TIDAK
PARTAI PEDULI RAKYAT ,IRWAN SETYO ATMOKO,L,SLAWI,4,7241,0,1,1,237,TIDAK
PARTAI PEDULI RAKYAT ,TOIPIN,L,JATINEGARA,4,7241,0,3,1,621,TIDAK
PARTAI PEDULI RAKYAT ,ROZIKIN,L,DUKUH TURI,4,7241,0,5,1,1912,TIDAK
PARTAI PEDULI RAKYAT ,M.MUHADJIRIN S,L,KRAMAT,4,7241,0,6,1,265,TIDAK
PARTAI PEDULI RAKYAT ,NURIPAH,P,KRAMAT,4,7241,0,6,2,117,TIDAK
PARTAI PEDULI RAKYAT ,PETRUS SUNARYO WENO,L,KRAMAT,4,7241,0,6,3,110,TIDAK
PARTAI PEDULI RAKYAT ,R. AYU YOHANAH,P,KRAMAT,4,7241,0,6,4,124,TIDAK
PARTAI GERINDRA,"YASIN MUSTOFA,S.Ag",L,SLAWI,5,21642,1,1,1,504,TIDAK
PARTAI GERINDRA,SUGIHARTO,L,SLAWI,5,21642,1,1,2,500,TIDAK
PARTAI GERINDRA,ENDANG WERDININGSIH,P,SLAWI,5,21642,1,1,3,286,TIDAK
PARTAI GERINDRA,IMAM SUBEJO,L,SLAWI,5,21642,1,1,4,237,TIDAK
PARTAI GERINDRA,"Dr.H.M.BUDI SUTRISNO,M.Kes",L,TARUB,5,21642,1,2,1,3149,YA
PARTAI GERINDRA,KUSMIYATI,P,TARUB,5,21642,1,2,2,494,TIDAK
PARTAI GERINDRA,"SUDIYONO,S,Sos",L,TARUB,5,21642,1,2,3,423,TIDAK
PARTAI GERINDRA,"SUTOYO,Spd",L,SLAWI,5,21642,1,3,1,678,TIDAK
PARTAI GERINDRA,"SRI MUDIROCH,",P,SLAWI,5,21642,1,3,2,258,TIDAK
PARTAI GERINDRA,BAMBANG TRI S,L,BUMIJAWA,5,21642,1,3,3,186,TIDAK
PARTAI GERINDRA,AKHMAD CHOLID,L,ADIWERNA,5,21642,1,4,1,891,TIDAK
PARTAI GERINDRA,SRI BUDI LESTARI,P,SLAWI,5,21642,1,4,2,255,TIDAK
PARTAI GERINDRA,AHMAD AL TORIK HR,L,SLAWI,5,21642,1,4,3,1328,TIDAK
PARTAI GERINDRA,NASROCHI,L,TALANG,5,21642,1,5,1,1293,TIDAK
PARTAI GERINDRA,SISWOYO,L,TALANG,5,21642,1,5,2,902,TIDAK
PARTAI GERINDRA,"SITI MUJIROH,Amd",P,TALANG,5,21642,1,5,3,583,TIDAK
PARTAI GERINDRA,"M.IMAN SANTOSO,SE",L,KRAMAT,5,21642,1,6,1,446,TIDAK
PARTAI GERINDRA,"R.UNTUNG SETIJADI,SH",L,KRAMAT,5,21642,1,6,2,195,TIDAK
PARTAI GERINDRA,ENI NURYATI,P,KRAMAT,5,21642,1,6,3,152,TIDAK
PARTAI GERINDRA,"AKHMAD MUKHOFID,S.Ag",L,KRAMAT,5,21642,1,6,4,157,TIDAK
PARTAI GERINDRA,NODAHYO,P,KRAMAT,5,21642,1,6,5,231,TIDAK
PARTAI BARISAN NASIONAL,MAKMURI,L,KRAMAT,6,1079,0,3,1,95,TIDAK
PARTAI BARISAN NASIONAL,TATANG BUDIONO,L,KRAMAT,6,1079,0,3,2,121,TIDAK
PARTAI BARISAN NASIONAL,DWI TYAS UTAMI,P,KRAMAT,6,1079,0,3,3,18,TIDAK
PARTAI BARISAN NASIONAL,PURWANTO,L,KRAMAT,6,1079,0,4,1,148,TIDAK
PARTAI BARISAN NASIONAL,SUKISWO,L,TARUB,6,1079,0,5,1,106,TIDAK
PARTAI KEADILAN PERSATUAN INDONESIA,SUTONO PRAM,L,SLAWI,7,961,0,1,1,111,TIDAK
PARTAI KEADILAN PERSATUAN INDONESIA,"PANDU P HANDANI ,SIP",L,KALISAPU,7,961,0,5,1,93,TIDAK
PARTAI KEADILAN SEJAHTERA,"MUSTOFA,S.Pdi",L,SLAWI,8,48136,5,1,1,1697,YA
PARTAI KEADILAN SEJAHTERA,dr.MOHAMAD SOFWAN ARIFI,L,LEBAKSIU,8,48136,5,1,2,790,TIDAK
PARTAI KEADILAN SEJAHTERA,"YULI SUSIYANTI,S.si",P,LEBAKSIU,8,48136,5,1,3,432,TIDAK
PARTAI KEADILAN SEJAHTERA,"HASAN SADILI,S.Ag",L,DUKUHWARU,8,48136,5,1,4,979,TIDAK
